date,cons
29/01/2018,1593458
30/01/2018,1603258
31/01/2018,1621035
,
01/02/2018,1697403
02/02/2018,1751827
03/02/2018,1632245
04/02/2018,1603252
05/02/2018,1866301
06/02/2018,1900002
07/02/2018,1933052
08/02/2018,1935868
09/02/2018,1928253
10/02/2018,1747016
11/02/2018,1621220
12/02/2018,1796803
13/02/2018,1906795
14/02/2018,1881893
15/02/2018,1735094
16/02/2018,1662033
17/02/2018,1521627
18/02/2018,1508626
19/02/2018,1704571
20/02/2018,1701162
21/02/2018,1766914
22/02/2018,1856912
23/02/2018,1876418
24/02/2018,1745178
25/02/2018,1696207
26/02/2018,1976543
27/02/2018,2098080
28/02/2018,2157614
,
01/03/2018,2029480
02/03/2018,1846282
03/03/2018,1607522
04/03/2018,1491113
05/03/2018,1613501
06/03/2018,1607468
07/03/2018,1631466
08/03/2018,1627869
09/03/2018,1542143
10/03/2018,1330021
11/03/2018,1225341
12/03/2018,1445519
13/03/2018,1502269
14/03/2018,1498476
15/03/2018,1491475
16/03/2018,1471973
17/03/2018,1437850
18/03/2018,1485832
19/03/2018,1742483
20/03/2018,1787391
21/03/2018,1761386
22/03/2018,1731740
23/03/2018,1659479
24/03/2018,1445950
25/03/2018,1279899
26/03/2018,1493091
27/03/2018,1541133
28/03/2018,1507637
29/03/2018,1515845
30/03/2018,1518329
31/03/2018,1398892
,
01/04/2018,1321091
02/04/2018,1292359
03/04/2018,1391802
04/04/2018,1400870
05/04/2018,1411146
06/04/2018,1362379
07/04/2018,1167945
08/04/2018,1090174
09/04/2018,1276173
10/04/2018,1329708
11/04/2018,1350248
12/04/2018,1349267
13/04/2018,1308853
14/04/2018,1167904
15/04/2018,1089413
16/04/2018,1236139
17/04/2018,1229197
18/04/2018,1166878
19/04/2018,1139044
20/04/2018,1137151
21/04/2018,1006288
22/04/2018,940194
23/04/2018,1096269
24/04/2018,1128680
25/04/2018,1148961
26/04/2018,1169249
27/04/2018,1169550
28/04/2018,1049129
29/04/2018,1031888
30/04/2018,1218779
,
01/05/2018,1099997
02/05/2018,1261540
03/05/2018,1245636
04/05/2018,1208214
05/05/2018,1050405
06/05/2018,954982
07/05/2018,1059908
08/05/2018,980194
09/05/2018,1056773
10/05/2018,988615
11/05/2018,1061214
12/05/2018,1006870
13/05/2018,1000562
14/05/2018,1215670
15/05/2018,1225126
16/05/2018,1192590
17/05/2018,1180361
18/05/2018,1150322
19/05/2018,1017307
20/05/2018,945158
21/05/2018,978976
22/05/2018,1120274
23/05/2018,1130955
24/05/2018,1136109
25/05/2018,1134202
26/05/2018,999945
27/05/2018,935225
28/05/2018,1103964
29/05/2018,1124194
30/05/2018,1137840
31/05/2018,1137253
,
01/06/2018,1122406
02/06/2018,989065
03/06/2018,925062
04/06/2018,1103911
05/06/2018,1130527
06/06/2018,1137953
07/06/2018,1131134
08/06/2018,1121286
09/06/2018,1000371
10/06/2018,938006
11/06/2018,1112010
12/06/2018,1123559
13/06/2018,1118362
14/06/2018,1128118
